pa_id,game_id,inning_half,inning,offense_team,batter,pitcher,outcome,hit_type,pa_flag,ab_flag,hit_flag,walk_flag,hbp_flag,k_flag,pitches_in_pa,swings_in_pa,whiffs_in_pa,contacts_in_pa,is_first_pitch_swing,is_first_pitch_strike,is_first_pitch_in_play,two_strike_swings,two_strike_whiffs,two_strike_contacts,two_strike_pa_flag,outs_before,outs_on_pa,risp_flag,two_out_flag,runner_adv_or_score_flag,rbi_flag,batted_ball_pos,spray_x,spray_y
29,Crossroads_3_2_26,Top,4,East Wake Academy Varsity Eagles,J Bailey,J Anderson,Fly Out,,1,1,0,0,0,0,7,3,1,2,0,0,0,2,0,2,1,1,1,1,0,1,0,CF,0.000,265.000
30,Crossroads_3_2_26,Top,4,East Wake Academy Varsity Eagles,C Mason,J Anderson,Single,Single,1,1,1,0,0,0,6,2,0,2,0,1,0,2,0,2,1,2,0,1,1,0,0,2B,15.000,135.000
31,Crossroads_3_2_26,Top,4,East Wake Academy Varsity Eagles,N Rodriguez,J Anderson,Ground Out,,1,1,0,0,0,0,3,2,1,1,1,1,0,0,0,0,0,2,1,0,1,0,0,SS,-15.000,135.000
32,Crossroads_3_2_26,Bottom,3,Crossroads Christian,A Smith,L Collier,Ground Out,,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1B,70.000,100.000
33,Crossroads_3_2_26,Bottom,3,Crossroads Christian,T Wilson,L Collier,Single,Single,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,RF,140.000,235.000
34,Crossroads_3_2_26,Bottom,3,Crossroads Christian,B Adcock,L Collier,Single,Single,1,1,1,0,0,0,5,2,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,SS,-15.000,135.000
35,Crossroads_3_2_26,Bottom,3,Crossroads Christian,E Smith,L Collier,Ground Out,,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,P,0.000,60.000
36,Crossroads_3_2_26,Bottom,3,Crossroads Christian,C Paschall,L Collier,Fly Out,,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,2,1,0,1,0,0,RF,140.000,235.000
37,Crossroads_3_2_26,Top,3,East Wake Academy Varsity Eagles,C Leonard,J Anderson,Fly Out,,1,1,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,SS,-15.000,135.000
38,Crossroads_3_2_26,Top,3,East Wake Academy Varsity Eagles,A Gardner,J Anderson,Fielder's Choice,,1,1,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,3B,-70.000,100.000
